CE30_Copyright	Copyright
_wcepb__SH3DSP	_SH3DSP
_wcepb__SH3FQCR_Fast	_SH3FQCR_Fast
_wcepb__SH3FQCR_Slow	_SH3FQCR_Slow
_wcepb__SH3InitialSR	_SH3InitialSR
_wcepb__SH4CacheLines	_SH4CacheLines
_wcepb_curridlehigh	curridlehigh
_wcepb_curridlelow	curridlelow
_wcepb_dwCeLogFlushTimeout	dwCeLogFlushTimeout
_wcepb_dwCeLogLargeBuf	dwCeLogLargeBuf
_wcepb_dwCeLogSmallBuf	dwCeLogSmallBuf
_wcepb_dwCeLogTLBMiss	dwCeLogTLBMiss
_wcepb_dwPartialDiffMSec	dwPartialDiffMSec
_wcepb_dwPreempt	dwPreempt
_wcepb_dwSleepMin	dwSleepMin
_wcepb_fUseIterations	fUseIterations
_wcepb_g_fShellAPI	g_fShellAPI
_wcepb_idleconv	idleconv
_wcepb_lpParallelPortGetByteFunc	lpParallelPortGetByteFunc
_wcepb_lpParallelPortSendByteFunc	lpParallelPortSendByteFunc
_wcepb_lpReadDebugByteFunc	lpReadDebugByteFunc
_wcepb_lpWriteDebugByteFunc	lpWriteDebugByteFunc
_wcepb_lpWriteDebugStringFunc	lpWriteDebugStringFunc
_wcepb_nCeLogThreadPrio	nCeLogThreadPrio
_wcepb_pIoctl_Register_DataCollector	pIoctl_Register_DataCollector
_wcepb_pIoctl_Send_DataCollector	pIoctl_Send_DataCollector
_wcepb_pLogProcessCreate	pLogProcessCreate
_wcepb_pLogProcessDelete	pLogProcessDelete
_wcepb_pLogThreadCreate	pLogThreadCreate
_wcepb_pLogThreadDelete	pLogThreadDelete
_wcepb_pLogThreadSwitch	pLogThreadSwitch
_wcepb_pOEMCertifyModule	pOEMCertifyModule
_wcepb_pOEMCertifyModuleInit	pOEMCertifyModuleInit
_wcepb_pQueryPerformanceCounter	pQueryPerformanceCounter
_wcepb_pQueryPerformanceFrequency	pQueryPerformanceFrequency
_wcepb_pReadRegistryFromOEM	pReadRegistryFromOEM
_wcepb_pWriteRegistryToOEM	pWriteRegistryToOEM
_wcepb_ticksleft	ticksleft
_wcepb_waveui_AcmDlgProc	waveui_AcmDlgProc
_wcepb_waveui_AfterDialogBox	waveui_AfterDialogBox
_wcepb_waveui_BeforeDialogBox	waveui_BeforeDialogBox
_wcepb_waveui_DeInit	waveui_DeInit
_wcepb_waveui_Init	waveui_Init
_wcesdk_25_Pin_Connectors	25-Pin Connectors
_wcesdk_9_Pin_Connectors	9-Pin Connectors
_wcesdk_API_Considerations	API Considerations
_wcesdk_About_Registry_Security	About Registry Security
_wcesdk_About_the_User_Interface_Code_Samples	About the User Interface Code Samples (Windows CE 3.0 User Interface Services)
_wcesdk_Accessing_Files_on_Other_Storage_Media	Accessing Files on Other Storage Media
_wcesdk_Accessing_Remote_File_Systems	Accessing Remote File Systems
_wcesdk_Accessing_a_Smart_Card	Accessing a Smart Card
_wcesdk_Accessing_the_Internet_Using_a_Modem	Accessing the Internet Using a Modem
_wcesdk_ActivateDevice	ActivateDevice
_wcesdk_ActiveSync	ActiveSync
_wcesdk_AddReg	AddReg
_wcesdk_Adding_Callback_Items_and_Callback_Masks	Adding Callback Items and Callback Masks (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_Columns	Adding Columns (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_Content_to_a_Help_File	Adding Content to a Help File
_wcesdk_Adding_Custom_Menus_to_Windows_CE_Explorer	Adding Custom Menus to Windows CE Explorer
_wcesdk_Adding_Header_Control_Items	Adding Header Control Items (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_Help_to_an_Application	Adding Help to an Application
_wcesdk_Adding_Items_and_Subitems	Adding Items and Subitems (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_Programs_to_and_Removing_Programs_from_a_Device	Adding Programs to and Removing Programs from a Device
_wcesdk_Adding_Support_for_a_Hot_Key	Adding Support for a Hot Key (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_Tab_Stops_and_Margins	Adding Tab Stops and Margins (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_Text_to_the_Status_Bar	Adding Text to the Status Bar (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_a_Help_File_to_the_All_Topics_List	Adding a Help File to the All Topics List
_wcesdk_Adding_an_Entry_to_the_IP_Forward_Table	Adding an Entry to the IP Forward Table
_wcesdk_Adding_an_Image_List_to_a_Tab_Control	Adding an Image List to a Tab Control (Windows CE 3.0 User Interface Services)
_wcesdk_Adding_and_Editing_Item_Labels	Adding and Editing Item Labels (Windows CE 3.0 User Interface Services)
_wcesdk_Additional_DHCP_Settings	Additional DHCP Settings
_wcesdk_Address_Resolution_Protocol__ARP_	Address Resolution Protocol (ARP)
_wcesdk_Address_Translation	Address Translation
_wcesdk_Address_Translation_Group	Address Translation Group
_wcesdk_Adhering_to_International_Conventions	Adhering to International Conventions
_wcesdk_Administering_CryptoAPI	Administering CryptoAPI
_wcesdk_Allocating_Memory	Allocating Memory
_wcesdk_Application_Defined_Dialog_Boxes	Application-Defined Dialog Boxes (Windows CE 3.0 User Interface Services)
_wcesdk_Application_Design_Guidelines	Application Design Guidelines
_wcesdk_Architectural_Model	Architectural Model
_wcesdk_Arranging_Sorting_and_Finding_List_Views	Arranging, Sorting, and Finding List Views (Windows CE 3.0 User Interface Services)
_wcesdk_Assigning_an_IP_Address_to_a_Device	Assigning an IP Address to a Device
_wcesdk_Asynchronous_Operations	Asynchronous Operations
_wcesdk_Authenticating_a_Connection	Authenticating a Connection
_wcesdk_Auto_Dial	Auto Dial
_wcesdk_Automatic_Client_Configuration	Automatic Client Configuration
_wcesdk_Backing_Up_and_Restoring_Device_Data	Backing Up and Restoring Device Data
_wcesdk_Basic_Design_Considerations	Basic Programming Considerations
_wcesdk_Between_the_Data-Link_Layer_and_Network_and_Transport_Layers	Between the Data-Link Layer and Network and Transport Layers
_wcesdk_Between_the_Network_and_Transport_Layers_and_Session_Layer	Between the Network and Transport Layers and Session Layer
_wcesdk_Built_in_Network_Adapters	Built-in Network Adapters
_wcesdk_CALL	CALL
_wcesdk_CALLCONV	CALLCONV
_wcesdk_CEDBASEINFO	CEDBASEINFO
_wcesdk_CEDB_FIND_DATA	CEDB_FIND_DATA
_wcesdk_CEDIRINFO	CEDIRINFO
_wcesdk_CEDevice	CEDevice
_wcesdk_CEFILEINFO	CEFILEINFO
_wcesdk_CENOTIFICATION	CENOTIFICATION
_wcesdk_CENOTIFYREQUEST	CENOTIFYREQUEST
_wcesdk_CEOIDINFO	CEOIDINFO
_wcesdk_CEOSVERSIONINFO	CEOSVERSIONINFO
_wcesdk_CEPROPVAL	CEPROPVAL
_wcesdk_CERECORDINFO	CERECORDINFO
_wcesdk_CEShortcuts	CEShortcuts
_wcesdk_CEStrings	CEStrings
_wcesdk_CEUTIL_Functions	CEUTIL Functions
_wcesdk_CEVALUNION	CEVALUNION
_wcesdk_CE_FIND_DATA	CE_FIND_DATA
_wcesdk_CE_USER_NOTIFICATION	CE_USER_NOTIFICATION
_wcesdk_CFF_CONVERTINFO	CFF_CONVERTINFO
_wcesdk_CFF_CONVERTOPTIONS	CFF_CONVERTOPTIONS
_wcesdk_CFF_DESTINATIONFILE	CFF_DESTINATIONFILE
_wcesdk_CFF_SOURCEFILE	CFF_SOURCEFILE
_wcesdk_CHDIR	CHDIR
_wcesdk_CHECK_INVALIDGUID	CHECK_INVALIDGUID
_wcesdk_CHECK_SYSTEMGUID	CHECK_SYSTEMGUID
_wcesdk_COMMANDBANDSRESTOREINFO	COMMANDBANDSRESTOREINFO
_wcesdk_COM_CLSIDFromProgID	CLSIDFromProgID
_wcesdk_COM_CLSIDFromString	CLSIDFromString
_wcesdk_COM_CoCreateInstance	CoCreateInstance
_wcesdk_COM_CoFreeLibrary	CoFreeLibrary
_wcesdk_COM_CoFreeUnusedLibraries	CoFreeUnusedLibraries
_wcesdk_COM_CoGetClassObject	CoGetClassObject
_wcesdk_COM_CoInitializeEx	CoInitializeEx
_wcesdk_COM_CoLoadLibrary	CoLoadLibrary
_wcesdk_COM_CoTaskMemAlloc	CoTaskMemAlloc
_wcesdk_COM_CoTaskMemFree	CoTaskMemFree
_wcesdk_COM_CoTaskMemRealloc	CoTaskMemRealloc
_wcesdk_COM_CoUninitialize	CoUninitialize
_wcesdk_COM_CreateBindCtx	CreateBindCtx
_wcesdk_COM_CreateOleAdviseHolder	CreateOleAdviseHolder
_wcesdk_COM_GetClassFile	GetClassFile
_wcesdk_COM_GetErrorInfo	GetErrorInfo
_wcesdk_COM_Interface_based_Notification	COM Interface-based Notification
_wcesdk_COM_OleCreate	OleCreate
_wcesdk_COM_OleDraw	OleDraw
_wcesdk_COM_OleIsRunning	OleIsRunning
_wcesdk_COM_OleRun	OleRun
_wcesdk_COM_OleSave	OleSave
_wcesdk_COM_OleSetContainedObject	OleSetContainedObject
_wcesdk_COM_OleSetMenuDescriptor	OleSetMenuDescriptor
_wcesdk_COM_ReadClassStm	ReadClassStm
_wcesdk_COM_ReleaseStgMedium	ReleaseStgMedium
_wcesdk_COM_StgCreateDocfile	StgCreateDocfile
_wcesdk_COM_StgCreateDocfileOnILockBytes	StgCreateDocfileOnILockBytes
_wcesdk_COM_StgOpenStorage	StgOpenStorage
_wcesdk_COM_StgOpenStorageOnILockBytes	StgOpenStorageOnILockBytes
_wcesdk_COM_StringFromCLSID	StringFromCLSID
_wcesdk_COM_StringFromGUID2	StringFromGUID2
_wcesdk_COM_StringFromIID	StringFromIID
_wcesdk_COM_WriteClassStg	WriteClassStg
_wcesdk_COM_WriteClassStm	WriteClassStm
_wcesdk_CREATE_INVALIDGUID	CREATE_INVALIDGUID
_wcesdk_CREATE_SYSTEMGUID	CREATE_SYSTEMGUID
_wcesdk_CURRENCY	CURRENCY
_wcesdk_Calling_the_Windows_NT_LAN_Manager_Security_Support_Provider	Calling the Windows NT LAN Manager Security Support Provider
_wcesdk_CeCheckPassword_RAPI_	CeCheckPassword (RAPI)
_wcesdk_CeClearReplChangeBitsEx	CeClearReplChangeBitsEx
_wcesdk_CeClearUserNotification	CeClearUserNotification
_wcesdk_CeCloseHandle_RAPI_	CeCloseHandle (RAPI)
_wcesdk_CeCopyFile_RAPI_	CeCopyFile (RAPI)
_wcesdk_CeCreateDatabase	CeCreateDatabase
_wcesdk_CeCreateDatabaseEx	CeCreateDatabaseEx
_wcesdk_CeCreateDatabaseEx_RAPI_	CeCreateDatabaseEx (RAPI)
_wcesdk_CeCreateDatabase_RAPI_	CeCreateDatabase (RAPI)
_wcesdk_CeCreateDirectory_RAPI_	CeCreateDirectory (RAPI)
_wcesdk_CeCreateFile_RAPI_	CeCreateFile (RAPI)
_wcesdk_CeCreateProcess_RAPI_	CeCreateProcess (RAPI)
_wcesdk_CeDeleteDatabase	CeDeleteDatabase
_wcesdk_CeDeleteDatabaseEx	CeDeleteDatabaseEx
_wcesdk_CeDeleteDatabaseEx_RAPI_	CeDeleteDatabaseEx (RAPI)
_wcesdk_CeDeleteDatabase_RAPI_	CeDeleteDatabase (RAPI)
_wcesdk_CeDeleteFile_RAPI_	CeDeleteFile (RAPI)
_wcesdk_CeDeleteRecord	CeDeleteRecord
_wcesdk_CeDeleteRecord_RAPI_	CeDeleteRecord (RAPI)
_wcesdk_CeEnumDBVolumes	CeEnumDBVolumes
_wcesdk_CeEnumDBVolumes_RAPI_	CeEnumDBVolumes (RAPI)
_wcesdk_CeFindAllDatabases_RAPI_	CeFindAllDatabases (RAPI)
_wcesdk_CeFindAllFiles_RAPI_	CeFindAllFiles (RAPI)
_wcesdk_CeFindClose_RAPI_	CeFindClose (RAPI)
_wcesdk_CeFindFirstDatabase	CeFindFirstDatabase
_wcesdk_CeFindFirstDatabaseEx	CeFindFirstDatabaseEx
_wcesdk_CeFindFirstDatabaseEx_RAPI_	CeFindFirstDatabaseEx (RAPI)
_wcesdk_CeFindFirstDatabase_RAPI_	CeFindFirstDatabase (RAPI)
_wcesdk_CeFindFirstFile_RAPI_	CeFindFirstFile (RAPI)
_wcesdk_CeFindNextDatabase	CeFindNextDatabase
_wcesdk_CeFindNextDatabaseEx	CeFindNextDatabaseEx
_wcesdk_CeFindNextDatabaseEx_RAPI_	CeFindNextDatabaseEx (RAPI)
_wcesdk_CeFindNextDatabase_RAPI_	CeFindNextDatabase (RAPI)
_wcesdk_CeFindNextFile_RAPI_	CeFindNextFile (RAPI)
_wcesdk_CeFlushDBVol	CeFlushDBVol
_wcesdk_CeFreeNotification	CeFreeNotification
_wcesdk_CeGetClassName_RAPI_	CeGetClassName (RAPI)
_wcesdk_CeGetCurrentTrust	CeGetCurrentTrust
_wcesdk_CeGetDesktopDeviceCaps_RAPI_	CeGetDesktopDeviceCaps (RAPI)
_wcesdk_CeGetDeviceId	CeGetDeviceId
_wcesdk_CeGetFileAttributes_RAPI_	CeGetFileAttributes (RAPI)
_wcesdk_CeGetFileSize_RAPI_	CeGetFileSize (RAPI)
_wcesdk_CeGetFileTime_RAPI_	CeGetFileTime (RAPI)
_wcesdk_CeGetLastError_RAPI_	CeGetLastError (RAPI)
_wcesdk_CeGetReplChangeBitsEx	CeGetReplChangeBitsEx
_wcesdk_CeGetReplChangeMask	CeGetReplChangeMask
_wcesdk_CeGetReplOtherBitsEx	CeGetReplOtherBitsEx
_wcesdk_CeGetSelectedDeviceId	CeGetSelectedDeviceId
_wcesdk_CeGetSpecialFolderPath_RAPI_	CeGetSpecialFolderPath (RAPI)
_wcesdk_CeGetStoreInformation_RAPI_	CeGetStoreInformation (RAPI)
_wcesdk_CeGetSystemInfo_RAPI_	CeGetSystemInfo (RAPI)
_wcesdk_CeGetSystemPowerStatusEx_RAPI_	CeGetSystemPowerStatusEx (RAPI)
_wcesdk_CeGetTempPath_RAPI_	CeGetTempPath (RAPI)
_wcesdk_CeGetUserNotification	CeGetUserNotification
_wcesdk_CeGetUserNotificationHandles	CeGetUserNotificationHandles
_wcesdk_CeGetUserNotificationPreferences	CeGetUserNotificationPreferences
_wcesdk_CeGetVersionEx_RAPI_	CeGetVersionEx (RAPI)
_wcesdk_CeGetWindowLong_RAPI_	CeGetWindowLong (RAPI)
_wcesdk_CeGetWindowText_RAPI_	CeGetWindowText (RAPI)
_wcesdk_CeGetWindow_RAPI_	CeGetWindow (RAPI)
_wcesdk_CeGlobalMemoryStatus_RAPI_	CeGlobalMemoryStatus (RAPI)
_wcesdk_CeHandleAppNotifications	CeHandleAppNotifications
_wcesdk_CeMountDBVol	CeMountDBVol
_wcesdk_CeMountDBVol_RAPI_	CeMountDBVol (RAPI)
_wcesdk_CeMoveFile_RAPI_	CeMoveFile (RAPI)
_wcesdk_CeOidGetInfo	CeOidGetInfo
_wcesdk_CeOidGetInfoEx	CeOidGetInfoEx
_wcesdk_CeOidGetInfoEx_RAPI_	CeOidGetInfoEx (RAPI)
_wcesdk_CeOidGetInfo_RAPI_	CeOidGetInfo (RAPI)
_wcesdk_CeOpenDatabase	CeOpenDatabase
_wcesdk_CeOpenDatabaseEx	CeOpenDatabaseEx
_wcesdk_CeOpenDatabaseEx_RAPI_	CeOpenDatabaseEx (RAPI)
_wcesdk_CeOpenDatabase_RAPI_	CeOpenDatabase (RAPI)
_wcesdk_CePimCommand	CePimCommand
_wcesdk_CeRapiFreeBuffer	CeRapiFreeBuffer
_wcesdk_CeRapiGetError	CeRapiGetError
_wcesdk_CeRapiInit	CeRapiInit
_wcesdk_CeRapiInitEx	CeRapiInitEx
_wcesdk_CeRapiInvoke	CeRapiInvoke
_wcesdk_CeRapiUninit	CeRapiUninit
_wcesdk_CeReadFile_RAPI_	CeReadFile (RAPI)
_wcesdk_CeReadRecordProps	CeReadRecordProps
_wcesdk_CeReadRecordPropsEx	CeReadRecordPropsEx
_wcesdk_CeReadRecordPropsEx_RAPI_	CeReadRecordPropsEx (RAPI)
_wcesdk_CeReadRecordProps_RAPI_	CeReadRecordProps (RAPI)
_wcesdk_CeRegCloseKey_RAPI_	CeRegCloseKey (RAPI)
_wcesdk_CeRegCreateKeyEx_RAPI_	CeRegCreateKeyEx (RAPI)
_wcesdk_CeRegDeleteKey_RAPI_	CeRegDeleteKey (RAPI)
_wcesdk_CeRegDeleteValue_RAPI_	CeRegDeleteValue (RAPI)
_wcesdk_CeRegEnumKeyEx_RAPI_	CeRegEnumKeyEx (RAPI)
_wcesdk_CeRegEnumValue_RAPI_	CeRegEnumValue (RAPI)
_wcesdk_CeRegOpenKeyEx_RAPI_	CeRegOpenKeyEx (RAPI)
_wcesdk_CeRegQueryInfoKey_RAPI_	CeRegQueryInfoKey (RAPI)
_wcesdk_CeRegQueryValueEx_RAPI_	CeRegQueryValueEx (RAPI)
_wcesdk_CeRegSetValueEx_RAPI_	CeRegSetValueEx (RAPI)
_wcesdk_CeRegisterReplNotification	CeRegisterReplNotification
_wcesdk_CeRemoveDirectory_RAPI_	CeRemoveDirectory (RAPI)
_wcesdk_CeResyncFilesys	CeResyncFilesys
_wcesdk_CeRunAppAtEvent	CeRunAppAtEvent
_wcesdk_CeRunAppAtTime	CeRunAppAtTime
_wcesdk_CeSHCreateShortcut_RAPI_	CeSHCreateShortcut (RAPI)
_wcesdk_CeSHGetShortcutTarget_RAPI_	CeSHGetShortcutTarget (RAPI)
_wcesdk_CeSeekDatabase	CeSeekDatabase
_wcesdk_CeSeekDatabase_RAPI_	CeSeekDatabase (RAPI)
_wcesdk_CeSetDatabaseInfo	CeSetDatabaseInfo
_wcesdk_CeSetDatabaseInfoEx	CeSetDatabaseInfoEx
_wcesdk_CeSetDatabaseInfoEx_RAPI_	CeSetDatabaseInfoEx (RAPI)
_wcesdk_CeSetDatabaseInfo_RAPI_	CeSetDatabaseInfo (RAPI)
_wcesdk_CeSetEndOfFile_RAPI_	CeSetEndOfFile (RAPI)
_wcesdk_CeSetFileAttributes_RAPI_	CeSetFileAttributes (RAPI)
_wcesdk_CeSetFilePointer_RAPI_	CeSetFilePointer (RAPI)
_wcesdk_CeSetFileTime_RAPI_	CeSetFileTime (RAPI)
_wcesdk_CeSetReplChangeBitsEx	CeSetReplChangeBitsEx
_wcesdk_CeSetReplChangeMask	CeSetReplChangeMask
_wcesdk_CeSetReplOtherBitsEx	CeSetReplOtherBitsEx
_wcesdk_CeSetUserNotification	CeSetUserNotification
_wcesdk_CeSetUserNotificationEx	CeSetUserNotificationEx
_wcesdk_CeSvcAdd	CeSvcAdd
_wcesdk_CeSvcClose	CeSvcClose
_wcesdk_CeSvcDelete	CeSvcDelete
_wcesdk_CeSvcDeleteVal	CeSvcDeleteVal
_wcesdk_CeSvcEnumProfiles	CeSvcEnumProfiles
_wcesdk_CeSvcGetBinary	CeSvcGetBinary
_wcesdk_CeSvcGetDword	CeSvcGetDword
_wcesdk_CeSvcGetString	CeSvcGetString
_wcesdk_CeSvcOpen	CeSvcOpen
_wcesdk_CeSvcOpenEx	CeSvcOpenEx
_wcesdk_CeSvcQueryInfo	CeSvcQueryInfo
_wcesdk_CeSvcRemove	CeSvcRemove
_wcesdk_CeSvcSetBinary	CeSvcSetBinary
_wcesdk_CeSvcSetDword	CeSvcSetDword
_wcesdk_CeSvcSetString	CeSvcSetString
_wcesdk_CeUnmountDBVol	CeUnmountDBVol
_wcesdk_CeUnmountDBVol_RAPI_	CeUnmountDBVol (RAPI)
_wcesdk_CeWriteFile_RAPI_	CeWriteFile (RAPI)
_wcesdk_CeWriteRecordProps	CeWriteRecordProps
_wcesdk_CeWriteRecordProps_RAPI_	CeWriteRecordProps (RAPI)
_wcesdk_Certificate_Authentication	Certificate Authentication
_wcesdk_Certificate_Chains	Certificate Chains
_wcesdk_Certificate_Extended_Properties	Certificate Extended Properties
_wcesdk_Certificate_Links	Certificate Links
_wcesdk_Certificates_and_CryptoAPI	Certificates and CryptoAPI
_wcesdk_Changing_Fonts_and_Colors	Changing Fonts and Colors (Windows CE 3.0 User Interface Services)
_wcesdk_Changing_a_Spelling_Error_in_Your_Application	Changing a Spelling Error in Your Application
_wcesdk_Changing_an_Existing_Phone_Book_Entry	Changing an Existing Phone-Book Entry
_wcesdk_Changing_the_Default_Gateway	Changing the Default Gateway
_wcesdk_Changing_the_Formatting_Rectangle	Changing the Formatting Rectangle (Windows CE 3.0 User Interface Services)
_wcesdk_Changing_the_Properties_of_an_Existing_Route	Changing the Properties of an Existing Route
_wcesdk_Changing_the_Width_of_the_Scroll_Bar_Box	Changing the Width of the Scroll Bar Box (Windows CE 3.0 User Interface Services)
_wcesdk_Character_Considerations	Character Considerations
_wcesdk_CheckPassword	CheckPassword
_wcesdk_Checking_Other_Keys	Checking Other Keys (Windows CE 3.0 User Interface Services)
_wcesdk_Choosing_Controls	Choosing Controls
_wcesdk_Choosing_a_Control_Style	Choosing a Control Style (Windows CE 3.0 User Interface Services)
_wcesdk_Classless_Inter_Domain_Routing__CIDR_	Classless Inter-Domain Routing (CIDR)
_wcesdk_Client_Initialization	Client Initialization
_wcesdk_Closing_a_Serial_Port	Closing a Serial Port
_wcesdk_Closing_the_Registry	Closing a Registry Key
_wcesdk_Coding_for_Internationalization	Coding for Internationalization
_wcesdk_CommandBands_AddAdornments	CommandBands_AddAdornments
_wcesdk_CommandBands_AddBands	CommandBands_AddBands
_wcesdk_CommandBands_Create	CommandBands_Create
_wcesdk_CommandBands_GetCommandBar	CommandBands_GetCommandBar
_wcesdk_CommandBands_GetRestoreInformation	CommandBands_GetRestoreInformation
_wcesdk_CommandBands_Height	CommandBands_Height
_wcesdk_CommandBands_Show	CommandBands_Show
_wcesdk_CommandBar_AddAdornments	CommandBar_AddAdornments
_wcesdk_CommandBar_AddBitmap	CommandBar_AddBitmap
_wcesdk_CommandBar_AddButtons	CommandBar_AddButtons
_wcesdk_CommandBar_AddToolTips	CommandBar_AddToolTips
_wcesdk_CommandBar_Create	CommandBar_Create
_wcesdk_CommandBar_Destroy	CommandBar_Destroy
_wcesdk_CommandBar_DrawMenuBar	CommandBar_DrawMenuBar
_wcesdk_CommandBar_GetMenu	CommandBar_GetMenu
_wcesdk_CommandBar_Height	CommandBar_Height
_wcesdk_CommandBar_InsertButton	CommandBar_InsertButton
_wcesdk_CommandBar_InsertComboBox	CommandBar_InsertComboBox
_wcesdk_CommandBar_InsertMenubar	CommandBar_InsertMenubar
_wcesdk_CommandBar_InsertMenubarEx	CommandBar_InsertMenubarEx
_wcesdk_CommandBar_IsVisible	CommandBar_IsVisible
_wcesdk_CommandBar_Show	CommandBar_Show
_wcesdk_Command_Processor_Shell	Command Processor Shell
_wcesdk_CommitUrlCacheEntry	CommitUrlCacheEntry
_wcesdk_Common_Dialog_Boxes	Common Dialog Boxes (Windows CE 3.0 User Interface Services)
_wcesdk_Common_Encryption_Algorithms	Common Encryption Algorithms
_wcesdk_Communications_Networking_and_Telephony_Services	Communications, Networking, and Telephony Services
_wcesdk_Completion_Notifications	Completion Notifications
_wcesdk_Conference_Calls	Conference Calls
_wcesdk_Configuration_Web_Page	Configuration Web Page
_wcesdk_Configuring_Time_Outs	Configuring Time-Outs
_wcesdk_Configuring_a_Serial_Port	Configuring a Serial Port
_wcesdk_Configuring_the_Silent_Mode	Configuring the Silent Mode
_wcesdk_Connecting_to_a_CSP	Connecting to a CSP
_wcesdk_Connecting_to_a_Network	Connecting to a Network
_wcesdk_Connection_Data	Connection Data
_wcesdk_Connection_Notification	Connection Notification
_wcesdk_Connection_Operation	Connection Operation
_wcesdk_Connection_Registry_Settings	Connection Registry Settings
_wcesdk_Connection_Sequence	Connection Sequence
_wcesdk_Connection_States	Connection States
_wcesdk_Connectivity_Services	Connectivity Services
_wcesdk_Context_Requirements	Context Requirements
_wcesdk_Context_Semantics	Context Semantics
_wcesdk_Control_Styles	Control Styles
_wcesdk_CopyFiles	CopyFiles
_wcesdk_Copying_a_Phone_Book_Entry	Copying a Phone-Book Entry
_wcesdk_Core_Protocol_Stack_Components	Core Protocol Stack Components
_wcesdk_CreateUrlCacheEntry	CreateUrlCacheEntry
_wcesdk_CreateUrlCacheGroup	CreateUrlCacheGroup
_wcesdk_Creating_Context_Sensitive_Help	Creating Context-Sensitive Help
_wcesdk_Creating_Controls	Creating Controls (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_Dialog_Boxes	Creating Dialog Boxes (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_Digital_Signatures	Creating Digital Signatures
_wcesdk_Creating_Icons_Bitmaps_Images_and_Strings	Creating Icons, Bitmaps, Images, and Strings (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_Icons_and_Bitmaps	Creating Icons and Bitmaps
_wcesdk_Creating_Image_Lists	Creating Image Lists (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_Keyboard_Accelerators	Creating Keyboard Accelerators (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_Menus	Creating Menus (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_Static_Port_Mappings	Creating Static Port Mappings
_wcesdk_Creating_Timers	Creating Timers (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_ToolTips	Creating ToolTips (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Button	Creating a Button (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Caret	Creating a Caret (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Combo_Box	Creating a Combo Box (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Command_Bands_Control	Creating a Command Bands Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Command_Bar	Creating a Command Bar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Cursor	Creating a Cursor (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Database	Creating a Database
_wcesdk_Creating_a_Date_and_Time_Picker_Control	Creating a Date and Time Picker Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Header_Control	Creating a Header Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Help_System	Creating a Help System
_wcesdk_Creating_a_List_Box	Creating a List Box (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_List_View_Control	Creating a List View Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Month_Calendar_Control	Creating a Month Calendar Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Multiple_Part_Status_Bar	Creating a Multiple-Part Status Bar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_PPP_Dial_up_Session	Creating a PPP Dial-up Session
_wcesdk_Creating_a_Progress_Bar	Creating a Progress Bar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Property_Sheet	Creating a Property Sheet (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Rebar_Control	Creating a Rebar Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Sample_Application	Creating a Sample Application (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Scroll_Bar	Creating a Scroll Bar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Static_Control	Creating a Static Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Status_Bar	Creating a Status Bar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_TCP_Stream_Socket_Application	Creating a TCP Stream Socket Application
_wcesdk_Creating_a_Tab_Control	Creating a Tab Control (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Toolbar	Creating a Toolbar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Trackbar	Creating a Trackbar (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Tree_View	Creating a Tree View (Windows CE 3.0 User Interface Services)
_wcesdk_Creating_a_Tree_View_Image_List	Creating a Tree-View Image List (Windows CE 3.0 User Interface Services)
