#shard	records	path
ndis	870	devsurface/data/symbols/ndis.jsonl
ndistapi	2	devsurface/data/symbols/ndistapi.jsonl
netui	58	devsurface/data/symbols/netui.jsonl
new	2	devsurface/data/symbols/new.jsonl
newmenu	6	devsurface/data/symbols/newmenu.jsonl
nkarm	2	devsurface/data/symbols/nkarm.jsonl
nkintr	76	devsurface/data/symbols/nkintr.jsonl
nled	9	devsurface/data/symbols/nled.jsonl
nleddrv.cpp	1	devsurface/data/symbols/nleddrv.cpp.jsonl
no-public-definition	2	devsurface/data/symbols/no-public-definition.jsonl
not-applicable.	81	devsurface/data/symbols/not-applicable..jsonl
notifext	58	devsurface/data/symbols/notifext.jsonl
notifext.cxx	3	devsurface/data/symbols/notifext.cxx.jsonl
notify	24	devsurface/data/symbols/notify.jsonl
ntcompat	10	devsurface/data/symbols/ntcompat.jsonl
ntddndis	200	devsurface/data/symbols/ntddndis.jsonl
ntddndis.h-and-ndistapi	137	devsurface/data/symbols/ntddndis.h-and-ndistapi.jsonl
ntlmssp	10	devsurface/data/symbols/ntlmssp.jsonl
ntlmssp.dll	3	devsurface/data/symbols/ntlmssp.dll.jsonl
nuiouser	30	devsurface/data/symbols/nuiouser.jsonl
oaidl	480	devsurface/data/symbols/oaidl.jsonl
oal_args	2	devsurface/data/symbols/oal_args.jsonl
oal_cache	17	devsurface/data/symbols/oal_cache.jsonl
oal_ilt	3	devsurface/data/symbols/oal_ilt.jsonl
oal_intr	37	devsurface/data/symbols/oal_intr.jsonl
oal_io	71	devsurface/data/symbols/oal_io.jsonl
oal_ioctl	20	devsurface/data/symbols/oal_ioctl.jsonl
oal_kitl	54	devsurface/data/symbols/oal_kitl.jsonl
oal_log	11	devsurface/data/symbols/oal_log.jsonl
oal_memory	8	devsurface/data/symbols/oal_memory.jsonl
oal_pci	33	devsurface/data/symbols/oal_pci.jsonl
oal_timer	14	devsurface/data/symbols/oal_timer.jsonl
oalintr	4	devsurface/data/symbols/oalintr.jsonl
obex	103	devsurface/data/symbols/obex.jsonl
obexserver	4	devsurface/data/symbols/obexserver.jsonl
objbase	273	devsurface/data/symbols/objbase.jsonl
objidl	458	devsurface/data/symbols/objidl.jsonl
objsafe	5	devsurface/data/symbols/objsafe.jsonl
ocidl	129	devsurface/data/symbols/ocidl.jsonl
oem-defined	1	devsurface/data/symbols/oem-defined.jsonl
oemboot.c	1	devsurface/data/symbols/oemboot.c.jsonl
oeminit.asm	1	devsurface/data/symbols/oeminit.asm.jsonl
oemioctl.c	4	devsurface/data/symbols/oemioctl.c.jsonl
oemwake	12	devsurface/data/symbols/oemwake.jsonl
ohcdddsi	17	devsurface/data/symbols/ohcdddsi.jsonl
ohcdddsi.h-or-uhcdddsi	18	devsurface/data/symbols/ohcdddsi.h-or-uhcdddsi.jsonl
ole2	51	devsurface/data/symbols/ole2.jsonl
oleauto	680	devsurface/data/symbols/oleauto.jsonl
olectl	6	devsurface/data/symbols/olectl.jsonl
oleidl	204	devsurface/data/symbols/oleidl.jsonl
oomui	36	devsurface/data/symbols/oomui.jsonl
os	6	devsurface/data/symbols/os.jsonl
osaccess	67	devsurface/data/symbols/osaccess.jsonl
osacess	10	devsurface/data/symbols/osacess.jsonl
osaxs	1	devsurface/data/symbols/osaxs.jsonl
p2p	20	devsurface/data/symbols/p2p.jsonl
package	10	devsurface/data/symbols/package.jsonl
packagefile	14	devsurface/data/symbols/packagefile.jsonl
partdrv	19	devsurface/data/symbols/partdrv.jsonl
pchannel	4	devsurface/data/symbols/pchannel.jsonl
pcibus	2	devsurface/data/symbols/pcibus.jsonl
pcireg	10	devsurface/data/symbols/pcireg.jsonl
pcirsrc	2	devsurface/data/symbols/pcirsrc.jsonl
pcommctr	4	devsurface/data/symbols/pcommctr.jsonl
pcommctrl	5	devsurface/data/symbols/pcommctrl.jsonl
pegdser	71	devsurface/data/symbols/pegdser.jsonl
pimstore	132	devsurface/data/symbols/pimstore.jsonl
pkfuncs	275	devsurface/data/symbols/pkfuncs.jsonl
platform	63	devsurface/data/symbols/platform.jsonl
platform-oal	12	devsurface/data/symbols/platform-oal.jsonl
platman	69	devsurface/data/symbols/platman.jsonl
playlist	16	devsurface/data/symbols/playlist.jsonl
pm	39	devsurface/data/symbols/pm.jsonl
pmimpl	14	devsurface/data/symbols/pmimpl.jsonl
pmpolicy	1	devsurface/data/symbols/pmpolicy.jsonl
pnp	1	devsurface/data/symbols/pnp.jsonl
pnrpdef	3	devsurface/data/symbols/pnrpdef.jsonl
pnrpns	3	devsurface/data/symbols/pnrpns.jsonl
prnport	11	devsurface/data/symbols/prnport.jsonl
profiler	15	devsurface/data/symbols/profiler.jsonl
progressview	4	devsurface/data/symbols/progressview.jsonl
property	19	devsurface/data/symbols/property.jsonl
propinfo	7	devsurface/data/symbols/propinfo.jsonl
proto	5	devsurface/data/symbols/proto.jsonl
proxy	2	devsurface/data/symbols/proxy.jsonl
prsht	64	devsurface/data/symbols/prsht.jsonl
psapi	2	devsurface/data/symbols/psapi.jsonl
pwinbase	4	devsurface/data/symbols/pwinbase.jsonl
pwindbas	21	devsurface/data/symbols/pwindbas.jsonl
pwingdi	3	devsurface/data/symbols/pwingdi.jsonl
pwinreg	24	devsurface/data/symbols/pwinreg.jsonl
pwinuser	28	devsurface/data/symbols/pwinuser.jsonl
rapi	174	devsurface/data/symbols/rapi.jsonl
rapitypes	7	devsurface/data/symbols/rapitypes.jsonl
ras	111	devsurface/data/symbols/ras.jsonl
ras.h	2	devsurface/data/symbols/ras.h.jsonl
rascustomscriptexecute-is-exported-from-the-custom-scripting-dll	2	devsurface/data/symbols/rascustomscriptexecute-is-exported-from-the-custom-scripting-dll.jsonl
raseapif	23	devsurface/data/symbols/raseapif.jsonl
rebarview	6	devsurface/data/symbols/rebarview.jsonl
recog	48	devsurface/data/symbols/recog.jsonl
remoteui	23	devsurface/data/symbols/remoteui.jsonl
replfilt	74	devsurface/data/symbols/replfilt.jsonl
rndis	38	devsurface/data/symbols/rndis.jsonl
rndismini	22	devsurface/data/symbols/rndismini.jsonl
romldr	5	devsurface/data/symbols/romldr.jsonl
routprot	2	devsurface/data/symbols/routprot.jsonl
rpcdce	2	devsurface/data/symbols/rpcdce.jsonl
rtccore	659	devsurface/data/symbols/rtccore.jsonl
rtccore.h.-rtccore	1	devsurface/data/symbols/rtccore.h.-rtccore.jsonl
rtcerr	4	devsurface/data/symbols/rtcerr.jsonl
rules	2	devsurface/data/symbols/rules.jsonl
sapi	505	devsurface/data/symbols/sapi.jsonl
sapiddk	177	devsurface/data/symbols/sapiddk.jsonl
scandisk	4	devsurface/data/symbols/scandisk.jsonl
schedlog	6	devsurface/data/symbols/schedlog.jsonl
schedule.c	1	devsurface/data/symbols/schedule.c.jsonl
schnlsp	7	devsurface/data/symbols/schnlsp.jsonl
scrollview	14	devsurface/data/symbols/scrollview.jsonl
sdcard	5	devsurface/data/symbols/sdcard.jsonl
sdcardddk	34	devsurface/data/symbols/sdcardddk.jsonl
sdmem	2	devsurface/data/symbols/sdmem.jsonl
security	15	devsurface/data/symbols/security.jsonl
see-remarks	11	devsurface/data/symbols/see-remarks.jsonl
serhw	110	devsurface/data/symbols/serhw.jsonl
service	65	devsurface/data/symbols/service.jsonl
servicecategory	15	devsurface/data/symbols/servicecategory.jsonl
serviceinfo	7	devsurface/data/symbols/serviceinfo.jsonl
shellapi	32	devsurface/data/symbols/shellapi.jsonl
shellcb	4	devsurface/data/symbols/shellcb.jsonl
shellsdk	1	devsurface/data/symbols/shellsdk.jsonl
shelwapi	1	devsurface/data/symbols/shelwapi.jsonl
shintr	43	devsurface/data/symbols/shintr.jsonl
shlobj	19	devsurface/data/symbols/shlobj.jsonl
shobjidl	37	devsurface/data/symbols/shobjidl.jsonl
shobjvidl	1	devsurface/data/symbols/shobjvidl.jsonl
shtypes	2	devsurface/data/symbols/shtypes.jsonl
sip	74	devsurface/data/symbols/sip.jsonl
sipapi	22	devsurface/data/symbols/sipapi.jsonl
smbconfig	5	devsurface/data/symbols/smbconfig.jsonl
smcce	2	devsurface/data/symbols/smcce.jsonl
smclib	37	devsurface/data/symbols/smclib.jsonl
snmp	113	devsurface/data/symbols/snmp.jsonl
snmpapi	2	devsurface/data/symbols/snmpapi.jsonl
snmpexts	9	devsurface/data/symbols/snmpexts.jsonl
sockserv	23	devsurface/data/symbols/sockserv.jsonl
socksv2	17	devsurface/data/symbols/socksv2.jsonl
sphelper	56	devsurface/data/symbols/sphelper.jsonl
splapi	32	devsurface/data/symbols/splapi.jsonl
sspi	41	devsurface/data/symbols/sspi.jsonl
startui	18	devsurface/data/symbols/startui.jsonl
startupserver	3	devsurface/data/symbols/startupserver.jsonl
statctlview	8	devsurface/data/symbols/statctlview.jsonl
stdio	3	devsurface/data/symbols/stdio.jsonl
stdlib	55	devsurface/data/symbols/stdlib.jsonl
stdlib.h-and-search	1	devsurface/data/symbols/stdlib.h-and-search.jsonl
stdlib.h-and-wchar_ship	1	devsurface/data/symbols/stdlib.h-and-wchar_ship.jsonl
stlib	1	devsurface/data/symbols/stlib.jsonl
storemgr	27	devsurface/data/symbols/storemgr.jsonl
stressutils	24	devsurface/data/symbols/stressutils.jsonl
strmif	26	devsurface/data/symbols/strmif.jsonl
strsafe	30	devsurface/data/symbols/strsafe.jsonl
sysgen	883	devsurface/data/symbols/sysgen.jsonl
tabview	3	devsurface/data/symbols/tabview.jsonl
tapi	533	devsurface/data/symbols/tapi.jsonl
tapicomn	210	devsurface/data/symbols/tapicomn.jsonl
tchaud	1	devsurface/data/symbols/tchaud.jsonl
tchddi	25	devsurface/data/symbols/tchddi.jsonl
tchddsi	16	devsurface/data/symbols/tchddsi.jsonl
this-structure-was-created-solely-to-depict-the-organization-of-data-in-a-version-resource-and-does-not-appear-in-any-of-the-header-files-shipped-with-an-sdk-for-a-windows-ce-os	1	devsurface/data/symbols/this-structure-was-created-solely-to-depict-the-organization-of-data-in-a-version-resource-and-does-not-appear-in-any-of-the-header-files-shipped-with-an-sdk-for-a-windows-ce-os.jsonl
timer.c	1	devsurface/data/symbols/timer.c.jsonl
tl	14	devsurface/data/symbols/tl.jsonl
tlhelp	4	devsurface/data/symbols/tlhelp.jsonl
tlhelp32	31	devsurface/data/symbols/tlhelp32.jsonl
toolbarview	15	devsurface/data/symbols/toolbarview.jsonl
trackbarview	9	devsurface/data/symbols/trackbarview.jsonl
trans	9	devsurface/data/symbols/trans.jsonl
transport	3	devsurface/data/symbols/transport.jsonl
