#symbol	book_count	per_book(book|kind|header|library)
_Dot3dVW1	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
_Dot4dV	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
_DRIVER_GLOBALS	3	mslearn-windows-ce-5.0|struct||	mslearn-windows-ce-net-4x|struct||	mslearn-windows-embedded-ce-6.0|struct||
_DSCP_TRAFFIC_TYPE	1	mslearn-windows-embedded-ce-6.0|enum||
_DSubSatInt	3	mslearn-windows-ce-5.0|function|Armintr.h|	mslearn-windows-ce-net-4x|function|Armintr.h|	mslearn-windows-embedded-ce-6.0|function|armintr.h|
_ecvt	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_enable	2	mslearn-windows-ce-5.0|function|winnt.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_ersqrt_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_ersqrt_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_ersqrt_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_ersqrt_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_ersqrt_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_Exec	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_fcvt	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_fileno	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_finite	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_flushall	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_fmode	1	mslearn-windows-ce-5.0|variable||
_fpclass	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_fpieee_flt	1	mslearn-windows-ce-5.0|struct|stdlib.h|coredll.dll
_fpreset	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_gcvt	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_GetCPU	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_GetOSVer	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_hypot	1	mslearn-windows-ce-5.0|unknown|stdlib.h|coredll.dll
_ICacheRefresh	3	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|	mslearn-windows-embedded-ce-6.0|function|cmnintrin.h|
_IMAGE_ALPHA_RUNTIME_FUNCTION_ENTRY	2	mslearn-windows-ce-5.0|struct|winnt.h|Implemented in winnt.h	mslearn-windows-embedded-ce-6.0|struct||
_IMAGE_CE_RUNTIME_FUNCTION_ENTRY	3	mslearn-windows-ce-5.0|struct|winnt.h|Implemented in winnt.h	mslearn-windows-ce-net-4x|struct|winnt.h|	mslearn-windows-embedded-ce-6.0|struct||
_IMAGE_RUNTIME_FUNCTION_ENTRY	1	mslearn-windows-ce-net-4x|struct|no public definition|
_InterlockedCompareExchange	3	mslearn-windows-ce-5.0|function|winbase.h|	mslearn-windows-ce-net-4x|function|Mipsintr.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
_InterlockedCompareExchange64	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_InterlockedDecrement	3	mslearn-windows-ce-5.0|function|winbase.h|	mslearn-windows-ce-net-4x|function|Mipsintr.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
_InterlockedExchange	2	mslearn-windows-ce-5.0|function|winbase.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
_InterlockedExchangeAdd	3	mslearn-windows-ce-5.0|function|winbase.h|	mslearn-windows-ce-net-4x|function|Mipsintr.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
_InterlockedIncrement	3	mslearn-windows-ce-5.0|function|winbase.h|	mslearn-windows-ce-net-4x|function|Mipsintr.h|	mslearn-windows-embedded-ce-6.0|function|winnt.h|
_INTRINSIC_IS_HELPER	3	mslearn-windows-ce-5.0|macro|Cmnintr.h|	mslearn-windows-ce-net-4x|macro|Cmnintr.h|	mslearn-windows-embedded-ce-6.0|macro||
_INTRINSIC_IS_INLINE	3	mslearn-windows-ce-5.0|macro|Cmnintr.h|	mslearn-windows-ce-net-4x|macro|Cmnintr.h|	mslearn-windows-embedded-ce-6.0|macro||
_INTRINSIC_IS_SAFE	3	mslearn-windows-ce-5.0|macro|Cmnintr.h|	mslearn-windows-ce-net-4x|macro|Cmnintr.h|	mslearn-windows-embedded-ce-6.0|macro||
_INTRINSIC_IS_SUPPORTED	3	mslearn-windows-ce-5.0|macro|Cmnintr.h|	mslearn-windows-ce-net-4x|macro|Cmnintr.h|	mslearn-windows-embedded-ce-6.0|macro||
_isnan	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_ISpPrivateEngineCall	2	mslearn-windows-ce-5.0|interface|Sapiddk.h|Sapilib.lib	mslearn-windows-ce-net-4x|interface|Sapiddk.h|Sapilib.lib
_isunordered	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_isunorderedf	2	mslearn-windows-ce-5.0|function|Cmnintrin.h|	mslearn-windows-ce-net-4x|function|Cmnintrin.h|
_Kill	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_LangHost	3	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||	mslearn-windows-embedded-ce-6.0|function||
_LoadMatrix	3	mslearn-windows-ce-5.0|function|shintr.h|	mslearn-windows-ce-net-4x|function|shintr.h|	mslearn-windows-embedded-ce-6.0|function|shintr.h|
_logb	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_LogMemUse	2	mslearn-uncategorized|function||	mslearn-windows-ce-5.0|function||
_madd_ps	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_madd_sl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_madd_su	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_madd_vl	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_madd_vu	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_max_ob	1	mslearn-windows-ce-net-4x|function|Mipsintr.h|
_memccpy	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
_memicmp	1	mslearn-windows-ce-5.0|function|stdlib.h|coredll.dll
